Episodio,Pasos totales,Recompensa,Duracion,Intervenciones,Eficiencia_Pto_Paso,Ratio_Seguridad_IA,Muertes,Puntos_por_muerte,Win,EndReason,UnsafeSteps,UnsafeRatio,Con_Escudo,Distancia_Recompensa,Distancia_Escudo,Modelo
1,645.0,1530.0,645.0,0.0,2.372093,100.0,3.0,510.0,0.0,GameOver,236.0,36.58914728682171,True,20,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d20_steps400000
2,477.0,370.0,477.0,0.0,0.7756813,100.0,3.0,123.33333587646484,0.0,GameOver,195.0,40.88050314465409,True,20,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d20_steps400000
3,521.0,520.0,521.0,0.0,0.9980806,100.0,3.0,173.3333282470703,0.0,GameOver,209.0,40.11516314779271,True,20,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d20_steps400000
4,747.0,980.0,747.0,0.0,1.3119143,100.0,3.0,326.6666564941406,0.0,GameOver,236.0,31.593038821954483,True,20,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d20_steps400000
5,707.0,890.0,707.0,0.0,1.2588402,100.0,3.0,296.6666564941406,0.0,GameOver,239.0,33.80480905233381,True,20,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d20_steps400000
6,539.0,530.0,539.0,0.0,0.9833024,100.0,3.0,176.6666717529297,0.0,GameOver,261.0,48.42300556586271,True,20,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d20_steps400000
7,425.0,350.0,425.0,0.0,0.8235294,100.0,3.0,116.66666412353516,0.0,GameOver,196.0,46.11764705882353,True,20,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d20_steps400000
8,607.0,650.0,607.0,0.0,1.0708402,100.0,3.0,216.6666717529297,0.0,GameOver,207.0,34.102141680395384,True,20,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d20_steps400000
9,407.0,380.0,407.0,0.0,0.9336609,100.0,3.0,126.66666412353516,0.0,GameOver,213.0,52.33415233415234,True,20,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d20_steps400000
10,637.0,500.0,637.0,0.0,0.78492934,100.0,3.0,166.6666717529297,0.0,GameOver,253.0,39.71742543171114,True,20,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d20_steps400000
11,957.0,2090.0,957.0,0.0,2.183908,100.0,3.0,696.6666870117188,0.0,GameOver,258.0,26.959247648902824,True,20,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d20_steps400000
12,407.0,380.0,407.0,0.0,0.9336609,100.0,3.0,126.66666412353516,0.0,GameOver,215.0,52.825552825552826,True,20,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d20_steps400000
13,517.0,260.0,517.0,0.0,0.5029014,100.0,3.0,86.66666412353516,0.0,GameOver,199.0,38.49129593810445,True,20,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d20_steps400000
14,721.0,560.0,721.0,0.0,0.776699,100.0,3.0,186.6666717529297,0.0,GameOver,230.0,31.900138696255205,True,20,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d20_steps400000
15,407.0,380.0,407.0,0.0,0.9336609,100.0,3.0,126.66666412353516,0.0,GameOver,216.0,53.07125307125307,True,20,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d20_steps400000
16,567.0,850.0,567.0,0.0,1.4991182,100.0,3.0,283.3333435058594,0.0,GameOver,239.0,42.151675485008816,True,20,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d20_steps400000
17,407.0,380.0,407.0,0.0,0.9336609,100.0,3.0,126.66666412353516,0.0,GameOver,216.0,53.07125307125307,True,20,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d20_steps400000
18,407.0,380.0,407.0,0.0,0.9336609,100.0,3.0,126.66666412353516,0.0,GameOver,213.0,52.33415233415234,True,20,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d20_steps400000
19,717.0,1440.0,717.0,0.0,2.0083683,100.0,3.0,480.0,0.0,GameOver,243.0,33.89121338912134,True,20,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d20_steps400000
20,509.0,510.0,509.0,0.0,1.0019647,100.0,3.0,170.0,0.0,GameOver,204.0,40.078585461689585,True,20,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d20_steps400000
MEDIA,566.4,696.5,566.4,0.0,1.1510236,100.0,3.0,232.16666717529296,0.0,,223.9,41.42257007228977,True,20,0,dqn_pacman_IA_Sola_ShieldOFF_Penalty_d20_steps400000
