Episodio,Pasos totales,Recompensa,Duracion,Intervenciones,Eficiencia_Pto_Paso,Ratio_Seguridad_IA,Muertes,Puntos_por_muerte,Win,EndReason,UnsafeSteps,UnsafeRatio,Con_Escudo,Distancia_Recompensa,Distancia_Escudo,Modelo
1,719.0,660.0,719.0,76.0,0.9179416,89.4297635605007,3.0,220.0,0.0,GameOver,242.0,33.65785813630042,True,20,10,dqn_pacman_IA_Sola_ShieldON_d10_Penalty_d20_steps400000
2,797.0,410.0,797.0,74.0,0.5144291,90.71518193224593,3.0,136.6666717529297,0.0,GameOver,252.0,31.618569636135508,True,20,10,dqn_pacman_IA_Sola_ShieldON_d10_Penalty_d20_steps400000
3,643.0,450.0,643.0,72.0,0.6998445,88.80248833592535,3.0,150.0,0.0,GameOver,229.0,35.61430793157076,True,20,10,dqn_pacman_IA_Sola_ShieldON_d10_Penalty_d20_steps400000
4,869.0,510.0,869.0,85.0,0.58688146,90.21864211737629,3.0,170.0,0.0,GameOver,262.0,30.149597238204834,True,20,10,dqn_pacman_IA_Sola_ShieldON_d10_Penalty_d20_steps400000
5,665.0,380.0,665.0,77.0,0.5714286,88.42105263157895,3.0,126.66666412353516,0.0,GameOver,255.0,38.34586466165413,True,20,10,dqn_pacman_IA_Sola_ShieldON_d10_Penalty_d20_steps400000
6,777.0,350.0,777.0,77.0,0.45045045,90.09009009009009,3.0,116.66666412353516,0.0,GameOver,249.0,32.04633204633205,True,20,10,dqn_pacman_IA_Sola_ShieldON_d10_Penalty_d20_steps400000
7,633.0,440.0,633.0,109.0,0.6951027,82.78041074249604,3.0,146.6666717529297,0.0,GameOver,266.0,42.022116903633496,True,20,10,dqn_pacman_IA_Sola_ShieldON_d10_Penalty_d20_steps400000
8,917.0,780.0,917.0,95.0,0.85059977,89.6401308615049,3.0,260.0,0.0,GameOver,268.0,29.225736095965104,True,20,10,dqn_pacman_IA_Sola_ShieldON_d10_Penalty_d20_steps400000
9,663.0,420.0,663.0,76.0,0.6334842,88.5369532428356,3.0,140.0,0.0,GameOver,212.0,31.975867269984914,True,20,10,dqn_pacman_IA_Sola_ShieldON_d10_Penalty_d20_steps400000
10,649.0,470.0,649.0,96.0,0.72419107,85.20801232665639,3.0,156.6666717529297,0.0,GameOver,249.0,38.366718027734976,True,20,10,dqn_pacman_IA_Sola_ShieldON_d10_Penalty_d20_steps400000
11,597.0,390.0,597.0,71.0,0.6532663,88.107202680067,3.0,130.0,0.0,GameOver,219.0,36.68341708542713,True,20,10,dqn_pacman_IA_Sola_ShieldON_d10_Penalty_d20_steps400000
12,821.0,790.0,821.0,78.0,0.9622412,90.4993909866017,3.0,263.3333435058594,0.0,GameOver,235.0,28.623629719853838,True,20,10,dqn_pacman_IA_Sola_ShieldON_d10_Penalty_d20_steps400000
13,743.0,580.0,743.0,74.0,0.7806191,90.04037685060565,3.0,193.3333282470703,0.0,GameOver,231.0,31.090174966352624,True,20,10,dqn_pacman_IA_Sola_ShieldON_d10_Penalty_d20_steps400000
14,735.0,620.0,735.0,107.0,0.8435374,85.4421768707483,3.0,206.6666717529297,0.0,GameOver,258.0,35.10204081632653,True,20,10,dqn_pacman_IA_Sola_ShieldON_d10_Penalty_d20_steps400000
15,699.0,430.0,699.0,71.0,0.6151645,89.84263233190272,3.0,143.3333282470703,0.0,GameOver,216.0,30.90128755364807,True,20,10,dqn_pacman_IA_Sola_ShieldON_d10_Penalty_d20_steps400000
16,823.0,630.0,823.0,77.0,0.7654921,90.64398541919806,3.0,210.0,0.0,GameOver,263.0,31.95625759416768,True,20,10,dqn_pacman_IA_Sola_ShieldON_d10_Penalty_d20_steps400000
17,581.0,330.0,581.0,67.0,0.56798625,88.46815834767642,3.0,110.0,0.0,GameOver,214.0,36.83304647160069,True,20,10,dqn_pacman_IA_Sola_ShieldON_d10_Penalty_d20_steps400000
18,623.0,480.0,623.0,75.0,0.7704655,87.96147672552166,3.0,160.0,0.0,GameOver,221.0,35.47351524879615,True,20,10,dqn_pacman_IA_Sola_ShieldON_d10_Penalty_d20_steps400000
19,741.0,560.0,741.0,82.0,0.7557355,88.93387314439946,3.0,186.6666717529297,0.0,GameOver,233.0,31.44399460188934,True,20,10,dqn_pacman_IA_Sola_ShieldON_d10_Penalty_d20_steps400000
20,647.0,490.0,647.0,97.0,0.75734156,85.00772797527047,3.0,163.3333282470703,0.0,GameOver,241.0,37.24884080370943,True,20,10,dqn_pacman_IA_Sola_ShieldON_d10_Penalty_d20_steps400000
MEDIA,717.1,508.5,717.1,81.8,0.7058101,88.43948635866006,3.0,169.50000076293946,0.0,,240.75,33.91895864046439,True,20,10,dqn_pacman_IA_Sola_ShieldON_d10_Penalty_d20_steps400000
