Episodio,Pasos totales,Recompensa,Duracion,Intervenciones,Eficiencia_Pto_Paso,Ratio_Seguridad_IA,Muertes,Puntos_por_muerte,Win,EndReason,UnsafeSteps,UnsafeRatio,Con_Escudo,Distancia_Recompensa,Distancia_Escudo,Modelo
1,945.0,950.0,945.0,112.0,1.005291,88.14814814814815,3.0,316.6666564941406,0.0,GameOver,0.0,0.0,True,0,10,dqn_pacman_IA_Sola_ShieldON_d10_steps400000
2,989.0,1120.0,989.0,85.0,1.132457,91.40546006066734,3.0,373.3333435058594,0.0,GameOver,0.0,0.0,True,0,10,dqn_pacman_IA_Sola_ShieldON_d10_steps400000
3,937.0,1080.0,937.0,115.0,1.1526147,87.72678762006403,3.0,360.0,0.0,GameOver,0.0,0.0,True,0,10,dqn_pacman_IA_Sola_ShieldON_d10_steps400000
4,723.0,1160.0,723.0,74.0,1.604426,89.76486860304288,3.0,386.6666564941406,0.0,GameOver,0.0,0.0,True,0,10,dqn_pacman_IA_Sola_ShieldON_d10_steps400000
5,923.0,1100.0,923.0,93.0,1.191766,89.92416034669556,3.0,366.6666564941406,0.0,GameOver,0.0,0.0,True,0,10,dqn_pacman_IA_Sola_ShieldON_d10_steps400000
6,659.0,960.0,659.0,87.0,1.4567527,86.79817905918058,3.0,320.0,0.0,GameOver,0.0,0.0,True,0,10,dqn_pacman_IA_Sola_ShieldON_d10_steps400000
7,1039.0,1300.0,1039.0,118.0,1.2512031,88.64292589027912,3.0,433.3333435058594,0.0,GameOver,0.0,0.0,True,0,10,dqn_pacman_IA_Sola_ShieldON_d10_steps400000
8,607.0,770.0,607.0,77.0,1.2685338,87.3146622734761,3.0,256.6666564941406,0.0,GameOver,0.0,0.0,True,0,10,dqn_pacman_IA_Sola_ShieldON_d10_steps400000
9,809.0,1030.0,809.0,78.0,1.2731768,90.3584672435105,3.0,343.3333435058594,0.0,GameOver,0.0,0.0,True,0,10,dqn_pacman_IA_Sola_ShieldON_d10_steps400000
10,783.0,1180.0,783.0,97.0,1.5070243,87.6117496807152,3.0,393.3333435058594,0.0,GameOver,0.0,0.0,True,0,10,dqn_pacman_IA_Sola_ShieldON_d10_steps400000
11,657.0,860.0,657.0,85.0,1.3089802,87.06240487062405,3.0,286.6666564941406,0.0,GameOver,0.0,0.0,True,0,10,dqn_pacman_IA_Sola_ShieldON_d10_steps400000
12,733.0,850.0,733.0,110.0,1.159618,84.99317871759891,3.0,283.3333435058594,0.0,GameOver,0.0,0.0,True,0,10,dqn_pacman_IA_Sola_ShieldON_d10_steps400000
13,757.0,1070.0,757.0,90.0,1.4134742,88.110964332893,3.0,356.6666564941406,0.0,GameOver,0.0,0.0,True,0,10,dqn_pacman_IA_Sola_ShieldON_d10_steps400000
14,761.0,770.0,761.0,66.0,1.0118265,91.32720105124837,3.0,256.6666564941406,0.0,GameOver,0.0,0.0,True,0,10,dqn_pacman_IA_Sola_ShieldON_d10_steps400000
15,1257.0,1330.0,1257.0,94.0,1.0580748,92.52187748607797,3.0,443.3333435058594,0.0,GameOver,0.0,0.0,True,0,10,dqn_pacman_IA_Sola_ShieldON_d10_steps400000
16,799.0,970.0,799.0,111.0,1.2140175,86.10763454317897,3.0,323.3333435058594,0.0,GameOver,0.0,0.0,True,0,10,dqn_pacman_IA_Sola_ShieldON_d10_steps400000
17,531.0,690.0,531.0,88.0,1.299435,83.42749529190208,3.0,230.0,0.0,GameOver,0.0,0.0,True,0,10,dqn_pacman_IA_Sola_ShieldON_d10_steps400000
18,557.0,680.0,557.0,71.0,1.2208259,87.25314183123878,3.0,226.6666717529297,0.0,GameOver,0.0,0.0,True,0,10,dqn_pacman_IA_Sola_ShieldON_d10_steps400000
19,591.0,650.0,591.0,95.0,1.0998307,83.92554991539764,3.0,216.6666717529297,0.0,GameOver,0.0,0.0,True,0,10,dqn_pacman_IA_Sola_ShieldON_d10_steps400000
20,729.0,980.0,729.0,68.0,1.3443073,90.6721536351166,3.0,326.6666564941406,0.0,GameOver,0.0,0.0,True,0,10,dqn_pacman_IA_Sola_ShieldON_d10_steps400000
MEDIA,789.3,975.0,789.3,90.7,1.2486817,88.15485053005278,3.0,325.0,0.0,,0.0,0.0,True,0,10,dqn_pacman_IA_Sola_ShieldON_d10_steps400000
