Episodio,Pasos totales,Recompensa,Duracion,Intervenciones,Eficiencia_Pto_Paso,Ratio_Seguridad_IA,Muertes,Puntos_por_muerte,Win,EndReason,UnsafeSteps,UnsafeRatio,Con_Escudo,Distancia_Recompensa,Distancia_Escudo,Modelo
1,979.0,1130.0,979.0,68.0,1.154239,93.05413687436159,3.0,376.6666564941406,0.0,GameOver,81.0,8.273748723186927,True,10,5,dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000
2,663.0,1180.0,663.0,79.0,1.7797889,88.08446455505279,3.0,393.3333435058594,0.0,GameOver,89.0,13.423831070889895,True,10,5,dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000
3,673.0,970.0,673.0,63.0,1.4413075,90.63893016344726,3.0,323.3333435058594,0.0,GameOver,69.0,10.25260029717682,True,10,5,dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000
4,721.0,930.0,721.0,75.0,1.2898751,89.59778085991678,3.0,310.0,0.0,GameOver,79.0,10.957004160887656,True,10,5,dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000
5,1135.0,1720.0,1135.0,80.0,1.5154185,92.95154185022027,3.0,573.3333129882812,0.0,GameOver,100.0,8.81057268722467,True,10,5,dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000
6,1053.0,1360.0,1053.0,75.0,1.291548,92.87749287749287,3.0,453.3333435058594,0.0,GameOver,86.0,8.167141500474834,True,10,5,dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000
7,655.0,870.0,655.0,73.0,1.3282443,88.85496183206108,3.0,290.0,0.0,GameOver,83.0,12.67175572519084,True,10,5,dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000
8,567.0,620.0,567.0,62.0,1.0934744,89.0652557319224,3.0,206.6666717529297,0.0,GameOver,73.0,12.874779541446207,True,10,5,dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000
9,783.0,1300.0,783.0,77.0,1.660281,90.16602809706258,3.0,433.3333435058594,0.0,GameOver,93.0,11.877394636015326,True,10,5,dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000
10,1005.0,1650.0,1005.0,80.0,1.641791,92.03980099502488,3.0,550.0,0.0,GameOver,92.0,9.154228855721392,True,10,5,dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000
11,719.0,890.0,719.0,71.0,1.2378303,90.12517385257301,3.0,296.6666564941406,0.0,GameOver,75.0,10.43115438108484,True,10,5,dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000
12,781.0,1320.0,781.0,77.0,1.6901408,90.14084507042254,3.0,440.0,0.0,GameOver,83.0,10.627400768245838,True,10,5,dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000
13,835.0,1330.0,835.0,76.0,1.5928143,90.89820359281437,3.0,443.3333435058594,0.0,GameOver,82.0,9.820359281437126,True,10,5,dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000
14,623.0,740.0,623.0,69.0,1.187801,88.92455858747994,3.0,246.6666717529297,0.0,GameOver,77.0,12.359550561797752,True,10,5,dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000
15,813.0,1170.0,813.0,86.0,1.4391143,89.42189421894219,3.0,390.0,0.0,GameOver,101.0,12.423124231242312,True,10,5,dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000
16,689.0,2110.0,689.0,84.0,3.0624094,87.80841799709724,3.0,703.3333129882812,0.0,GameOver,98.0,14.223512336719885,True,10,5,dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000
17,663.0,1260.0,663.0,79.0,1.9004525,88.08446455505279,3.0,420.0,0.0,GameOver,89.0,13.423831070889895,True,10,5,dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000
18,875.0,1040.0,875.0,64.0,1.1885715,92.68571428571428,3.0,346.6666564941406,0.0,GameOver,70.0,8.0,True,10,5,dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000
19,821.0,1170.0,821.0,76.0,1.4250914,90.74299634591961,3.0,390.0,0.0,GameOver,84.0,10.23142509135201,True,10,5,dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000
20,741.0,1090.0,741.0,69.0,1.4709852,90.68825910931174,3.0,363.3333435058594,0.0,GameOver,72.0,9.7165991902834,True,10,5,dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000
MEDIA,789.7,1192.5,789.7,74.15,1.5195589,90.3425460725945,3.0,397.5,0.0,,83.8,10.886000705563381,True,10,5,dqn_pacman_Imitation_ShieldON_d5_Penalty_d10_steps400000
