Episodio,Pasos totales,Recompensa,Duracion,Intervenciones,Eficiencia_Pto_Paso,Ratio_Seguridad_IA,Muertes,Puntos_por_muerte,Win,EndReason,UnsafeSteps,UnsafeRatio,Con_Escudo,Distancia_Recompensa,Distancia_Escudo,Modelo
1,737.0,1410.0,737.0,0.0,1.9131615,100.0,3.0,470.0,0.0,GameOver,92.0,12.48303934871099,False,10,0,dqn_pacman_Reward_10_IA_Sola_ShieldOFF_Penalty_d10_steps400000
2,521.0,790.0,521.0,0.0,1.5163147,100.0,3.0,263.3333435058594,0.0,GameOver,61.0,11.708253358925145,False,10,0,dqn_pacman_Reward_10_IA_Sola_ShieldOFF_Penalty_d10_steps400000
3,795.0,1330.0,795.0,0.0,1.672956,100.0,3.0,443.3333435058594,0.0,GameOver,69.0,8.679245283018867,False,10,0,dqn_pacman_Reward_10_IA_Sola_ShieldOFF_Penalty_d10_steps400000
4,821.0,1270.0,821.0,0.0,1.5468941,100.0,3.0,423.3333435058594,0.0,GameOver,77.0,9.378806333739343,False,10,0,dqn_pacman_Reward_10_IA_Sola_ShieldOFF_Penalty_d10_steps400000
5,839.0,1380.0,839.0,0.0,1.6448152,100.0,3.0,460.0,0.0,GameOver,87.0,10.369487485101311,False,10,0,dqn_pacman_Reward_10_IA_Sola_ShieldOFF_Penalty_d10_steps400000
6,763.0,2520.0,763.0,0.0,3.3027523,100.0,3.0,840.0,0.0,GameOver,94.0,12.319790301441676,False,10,0,dqn_pacman_Reward_10_IA_Sola_ShieldOFF_Penalty_d10_steps400000
7,563.0,530.0,563.0,0.0,0.94138545,100.0,3.0,176.6666717529297,0.0,GameOver,63.0,11.190053285968029,False,10,0,dqn_pacman_Reward_10_IA_Sola_ShieldOFF_Penalty_d10_steps400000
8,821.0,1960.0,821.0,0.0,2.3873324,100.0,3.0,653.3333129882812,0.0,GameOver,106.0,12.911084043848964,False,10,0,dqn_pacman_Reward_10_IA_Sola_ShieldOFF_Penalty_d10_steps400000
9,519.0,750.0,519.0,0.0,1.4450867,100.0,3.0,250.0,0.0,GameOver,71.0,13.680154142581888,False,10,0,dqn_pacman_Reward_10_IA_Sola_ShieldOFF_Penalty_d10_steps400000
10,757.0,1120.0,757.0,0.0,1.4795245,100.0,3.0,373.3333435058594,0.0,GameOver,78.0,10.303830911492733,False,10,0,dqn_pacman_Reward_10_IA_Sola_ShieldOFF_Penalty_d10_steps400000
11,703.0,1020.0,703.0,0.0,1.4509246,100.0,3.0,340.0,0.0,GameOver,76.0,10.81081081081081,False,10,0,dqn_pacman_Reward_10_IA_Sola_ShieldOFF_Penalty_d10_steps400000
12,1073.0,1560.0,1073.0,0.0,1.4538677,100.0,3.0,520.0,0.0,GameOver,84.0,7.82851817334576,False,10,0,dqn_pacman_Reward_10_IA_Sola_ShieldOFF_Penalty_d10_steps400000
13,761.0,930.0,761.0,0.0,1.2220762,100.0,3.0,310.0,0.0,GameOver,63.0,8.278580814717477,False,10,0,dqn_pacman_Reward_10_IA_Sola_ShieldOFF_Penalty_d10_steps400000
14,1031.0,2370.0,1031.0,0.0,2.2987392,100.0,3.0,790.0,0.0,GameOver,99.0,9.602327837051407,False,10,0,dqn_pacman_Reward_10_IA_Sola_ShieldOFF_Penalty_d10_steps400000
15,579.0,650.0,579.0,0.0,1.1226252,100.0,3.0,216.6666717529297,0.0,GameOver,62.0,10.708117443868739,False,10,0,dqn_pacman_Reward_10_IA_Sola_ShieldOFF_Penalty_d10_steps400000
16,823.0,1150.0,823.0,0.0,1.3973268,100.0,3.0,383.3333435058594,0.0,GameOver,73.0,8.869987849331713,False,10,0,dqn_pacman_Reward_10_IA_Sola_ShieldOFF_Penalty_d10_steps400000
17,715.0,1170.0,715.0,0.0,1.6363636,100.0,3.0,390.0,0.0,GameOver,82.0,11.468531468531468,False,10,0,dqn_pacman_Reward_10_IA_Sola_ShieldOFF_Penalty_d10_steps400000
18,619.0,680.0,619.0,0.0,1.098546,100.0,3.0,226.6666717529297,0.0,GameOver,69.0,11.147011308562197,False,10,0,dqn_pacman_Reward_10_IA_Sola_ShieldOFF_Penalty_d10_steps400000
19,563.0,700.0,563.0,0.0,1.2433393,100.0,3.0,233.3333282470703,0.0,GameOver,62.0,11.012433392539965,False,10,0,dqn_pacman_Reward_10_IA_Sola_ShieldOFF_Penalty_d10_steps400000
20,869.0,1510.0,869.0,0.0,1.7376294,100.0,3.0,503.3333435058594,0.0,GameOver,90.0,10.356731875719218,False,10,0,dqn_pacman_Reward_10_IA_Sola_ShieldOFF_Penalty_d10_steps400000
MEDIA,743.6,1240.0,743.6,0.0,1.625583,100.0,3.0,413.33333587646484,0.0,,77.9,10.655339773465386,False,10,0,dqn_pacman_Reward_10_IA_Sola_ShieldOFF_Penalty_d10_steps400000
