Episodio,Pasos totales,Recompensa,Duracion,Intervenciones,Eficiencia_Pto_Paso,Ratio_Seguridad_IA,Muertes,Puntos_por_muerte,Win,EndReason,UnsafeSteps,UnsafeRatio,Con_Escudo,Distancia_Recompensa,Distancia_Escudo,Modelo
1,481.0,410.0,481.0,0.0,0.8523908,100.0,3.0,136.6666717529297,0.0,GameOver,212.0,44.07484407484408,False,20,0,dqn_pacman_Teacher_Reward_20_Imitation_ShieldOFF_Penalty_d20_steps400000
2,477.0,260.0,477.0,0.0,0.5450734,100.0,3.0,86.66666412353516,0.0,GameOver,205.0,42.9769392033543,False,20,0,dqn_pacman_Teacher_Reward_20_Imitation_ShieldOFF_Penalty_d20_steps400000
3,667.0,900.0,667.0,0.0,1.3493253,100.0,3.0,300.0,0.0,GameOver,213.0,31.93403298350825,False,20,0,dqn_pacman_Teacher_Reward_20_Imitation_ShieldOFF_Penalty_d20_steps400000
4,645.0,490.0,645.0,0.0,0.7596899,100.0,3.0,163.3333282470703,0.0,GameOver,206.0,31.937984496124034,False,20,0,dqn_pacman_Teacher_Reward_20_Imitation_ShieldOFF_Penalty_d20_steps400000
5,893.0,990.0,893.0,0.0,1.1086227,100.0,3.0,330.0,0.0,GameOver,219.0,24.52407614781635,False,20,0,dqn_pacman_Teacher_Reward_20_Imitation_ShieldOFF_Penalty_d20_steps400000
6,791.0,1220.0,791.0,0.0,1.5423515,100.0,3.0,406.6666564941406,0.0,GameOver,229.0,28.950695322376742,False,20,0,dqn_pacman_Teacher_Reward_20_Imitation_ShieldOFF_Penalty_d20_steps400000
7,971.0,820.0,971.0,0.0,0.84449023,100.0,3.0,273.3333435058594,0.0,GameOver,237.0,24.407826982492274,False,20,0,dqn_pacman_Teacher_Reward_20_Imitation_ShieldOFF_Penalty_d20_steps400000
8,639.0,460.0,639.0,0.0,0.7198748,100.0,3.0,153.3333282470703,0.0,GameOver,201.0,31.455399061032864,False,20,0,dqn_pacman_Teacher_Reward_20_Imitation_ShieldOFF_Penalty_d20_steps400000
9,697.0,450.0,697.0,0.0,0.6456241,100.0,3.0,150.0,0.0,GameOver,203.0,29.124820659971306,False,20,0,dqn_pacman_Teacher_Reward_20_Imitation_ShieldOFF_Penalty_d20_steps400000
10,709.0,920.0,709.0,0.0,1.2976023,100.0,3.0,306.6666564941406,0.0,GameOver,237.0,33.42736248236953,False,20,0,dqn_pacman_Teacher_Reward_20_Imitation_ShieldOFF_Penalty_d20_steps400000
11,799.0,760.0,799.0,0.0,0.951189,100.0,3.0,253.3333282470703,0.0,GameOver,223.0,27.909887359198997,False,20,0,dqn_pacman_Teacher_Reward_20_Imitation_ShieldOFF_Penalty_d20_steps400000
12,569.0,360.0,569.0,0.0,0.63268894,100.0,3.0,120.0,0.0,GameOver,207.0,36.37961335676626,False,20,0,dqn_pacman_Teacher_Reward_20_Imitation_ShieldOFF_Penalty_d20_steps400000
13,1001.0,950.0,1001.0,0.0,0.94905096,100.0,3.0,316.6666564941406,0.0,GameOver,246.0,24.575424575424577,False,20,0,dqn_pacman_Teacher_Reward_20_Imitation_ShieldOFF_Penalty_d20_steps400000
14,647.0,500.0,647.0,0.0,0.7727975,100.0,3.0,166.6666717529297,0.0,GameOver,202.0,31.221020092735703,False,20,0,dqn_pacman_Teacher_Reward_20_Imitation_ShieldOFF_Penalty_d20_steps400000
15,1105.0,1060.0,1105.0,0.0,0.959276,100.0,3.0,353.3333435058594,0.0,GameOver,250.0,22.624434389140273,False,20,0,dqn_pacman_Teacher_Reward_20_Imitation_ShieldOFF_Penalty_d20_steps400000
16,683.0,600.0,683.0,0.0,0.87847733,100.0,3.0,200.0,0.0,GameOver,218.0,31.91800878477306,False,20,0,dqn_pacman_Teacher_Reward_20_Imitation_ShieldOFF_Penalty_d20_steps400000
17,1241.0,1530.0,1241.0,0.0,1.2328767,100.0,3.0,510.0,0.0,GameOver,266.0,21.434327155519743,False,20,0,dqn_pacman_Teacher_Reward_20_Imitation_ShieldOFF_Penalty_d20_steps400000
18,961.0,930.0,961.0,0.0,0.9677419,100.0,3.0,310.0,0.0,GameOver,245.0,25.494276795005206,False,20,0,dqn_pacman_Teacher_Reward_20_Imitation_ShieldOFF_Penalty_d20_steps400000
19,719.0,720.0,719.0,0.0,1.0013908,100.0,3.0,240.0,0.0,GameOver,206.0,28.650904033379692,False,20,0,dqn_pacman_Teacher_Reward_20_Imitation_ShieldOFF_Penalty_d20_steps400000
20,1023.0,1630.0,1023.0,0.0,1.5933529,100.0,3.0,543.3333129882812,0.0,GameOver,252.0,24.633431085043988,False,20,0,dqn_pacman_Teacher_Reward_20_Imitation_ShieldOFF_Penalty_d20_steps400000
MEDIA,785.9,798.0,785.9,0.0,0.9801943,100.0,3.0,265.99999809265137,0.0,,223.85,29.882765452043863,False,20,0,dqn_pacman_Teacher_Reward_20_Imitation_ShieldOFF_Penalty_d20_steps400000
