Episodio,Pasos totales,Recompensa,Duracion,Intervenciones,Eficiencia_Pto_Paso,Ratio_Seguridad_IA,Muertes,Puntos_por_muerte,Win,EndReason,UnsafeSteps,UnsafeRatio,Con_Escudo,Distancia_Recompensa,Distancia_Escudo,Modelo
1,661.0,720.0,661.0,65.0,1.0892587,90.16641452344932,3.0,240.0,0.0,GameOver,247.0,37.367624810892586,True,25,10,dqn_pacman_Teacher_Shield_10_Imitation_ShieldON_d10_steps400000
2,637.0,780.0,637.0,74.0,1.2244898,88.38304552590267,3.0,260.0,0.0,GameOver,234.0,36.734693877551024,True,25,10,dqn_pacman_Teacher_Shield_10_Imitation_ShieldON_d10_steps400000
3,837.0,960.0,837.0,86.0,1.1469535,89.72520908004779,3.0,320.0,0.0,GameOver,348.0,41.57706093189964,True,25,10,dqn_pacman_Teacher_Shield_10_Imitation_ShieldON_d10_steps400000
4,657.0,780.0,657.0,78.0,1.1872146,88.12785388127854,3.0,260.0,0.0,GameOver,266.0,40.48706240487062,True,25,10,dqn_pacman_Teacher_Shield_10_Imitation_ShieldON_d10_steps400000
5,609.0,820.0,609.0,83.0,1.3464696,86.37110016420363,3.0,273.3333435058594,0.0,GameOver,268.0,44.006568144499184,True,25,10,dqn_pacman_Teacher_Shield_10_Imitation_ShieldON_d10_steps400000
6,839.0,1180.0,839.0,94.0,1.4064362,88.79618593563767,3.0,393.3333435058594,0.0,GameOver,308.0,36.7103694874851,True,25,10,dqn_pacman_Teacher_Shield_10_Imitation_ShieldON_d10_steps400000
7,619.0,740.0,619.0,68.0,1.1954765,89.01453957996769,3.0,246.6666717529297,0.0,GameOver,239.0,38.61066235864297,True,25,10,dqn_pacman_Teacher_Shield_10_Imitation_ShieldON_d10_steps400000
8,753.0,890.0,753.0,89.0,1.1819389,88.18061088977423,3.0,296.6666564941406,0.0,GameOver,268.0,35.59096945551129,True,25,10,dqn_pacman_Teacher_Shield_10_Imitation_ShieldON_d10_steps400000
9,621.0,780.0,621.0,73.0,1.2560387,88.24476650563608,3.0,260.0,0.0,GameOver,298.0,47.987117552334944,True,25,10,dqn_pacman_Teacher_Shield_10_Imitation_ShieldON_d10_steps400000
10,649.0,840.0,649.0,77.0,1.2942989,88.13559322033898,3.0,280.0,0.0,GameOver,255.0,39.29121725731895,True,25,10,dqn_pacman_Teacher_Shield_10_Imitation_ShieldON_d10_steps400000
11,895.0,1350.0,895.0,101.0,1.5083799,88.71508379888267,3.0,450.0,0.0,GameOver,336.0,37.54189944134078,True,25,10,dqn_pacman_Teacher_Shield_10_Imitation_ShieldON_d10_steps400000
12,527.0,560.0,527.0,82.0,1.0626186,84.44022770398482,3.0,186.6666717529297,0.0,GameOver,231.0,43.833017077798864,True,25,10,dqn_pacman_Teacher_Shield_10_Imitation_ShieldON_d10_steps400000
13,801.0,850.0,801.0,85.0,1.0611736,89.38826466916355,3.0,283.3333435058594,0.0,GameOver,263.0,32.83395755305868,True,25,10,dqn_pacman_Teacher_Shield_10_Imitation_ShieldON_d10_steps400000
14,629.0,850.0,629.0,87.0,1.3513514,86.16852146263912,3.0,283.3333435058594,0.0,GameOver,294.0,46.74085850556439,True,25,10,dqn_pacman_Teacher_Shield_10_Imitation_ShieldON_d10_steps400000
15,865.0,2250.0,865.0,103.0,2.601156,88.09248554913295,3.0,750.0,0.0,GameOver,302.0,34.91329479768786,True,25,10,dqn_pacman_Teacher_Shield_10_Imitation_ShieldON_d10_steps400000
16,535.0,670.0,535.0,79.0,1.2523365,85.23364485981308,3.0,223.3333282470703,0.0,GameOver,251.0,46.91588785046729,True,25,10,dqn_pacman_Teacher_Shield_10_Imitation_ShieldON_d10_steps400000
17,1015.0,1630.0,1015.0,130.0,1.6059114,87.19211822660098,3.0,543.3333129882812,0.0,GameOver,452.0,44.532019704433495,True,25,10,dqn_pacman_Teacher_Shield_10_Imitation_ShieldON_d10_steps400000
18,719.0,1150.0,719.0,113.0,1.5994437,84.28372739916551,3.0,383.3333435058594,0.0,GameOver,334.0,46.453407510431155,True,25,10,dqn_pacman_Teacher_Shield_10_Imitation_ShieldON_d10_steps400000
19,621.0,780.0,621.0,71.0,1.2560387,88.56682769726248,3.0,260.0,0.0,GameOver,298.0,47.987117552334944,True,25,10,dqn_pacman_Teacher_Shield_10_Imitation_ShieldON_d10_steps400000
20,497.0,570.0,497.0,69.0,1.1468813,86.11670020120724,3.0,190.0,0.0,GameOver,233.0,46.88128772635815,True,25,10,dqn_pacman_Teacher_Shield_10_Imitation_ShieldON_d10_steps400000
MEDIA,699.3,957.5,699.3,85.35,1.3386934,87.66714604370446,3.0,319.1666679382324,0.0,,286.25,41.349804700024094,True,25,10,dqn_pacman_Teacher_Shield_10_Imitation_ShieldON_d10_steps400000
